First point of data acquisition:
2024-07-29, 17:32:26
Sample n. 1, Potential measurament V. 
-0.711,-0.001,2024-07-29 20:13:27
-0.711,-0.004,2024-07-29 20:13:27
-0.705,0.003,2024-07-29 20:13:28
-0.705,0.036,2024-07-29 20:13:28
-0.706,0.023,2024-07-29 20:13:29
-0.703,0.033,2024-07-29 20:13:29
-0.707,-0.017,2024-07-29 20:13:30
-0.703,-0.017,2024-07-29 20:13:30
-0.702,-0.020,2024-07-29 20:13:31
-0.701,0.003,2024-07-29 20:13:31
-0.696,0.006,2024-07-29 20:13:32
-0.699,0.007,2024-07-29 20:13:32
-0.695,-0.001,2024-07-29 20:13:33
-0.705,0.005,2024-07-29 20:24:53
-0.715,0.004,2024-07-29 20:24:54
-0.690,0.005,2024-07-29 20:24:54
-0.700,0.004,2024-07-29 20:24:55
-0.702,0.005,2024-07-29 20:24:55
-0.708,0.003,2024-07-29 20:24:56
-0.616,-0.002,2024-07-29 20:24:56
-0.343,-0.004,2024-07-29 20:24:57
-0.300,-0.004,2024-07-29 20:24:57
-0.571,0.005,2024-07-29 20:24:58
-0.604,0.004,2024-07-29 20:24:58
-0.697,0.007,2024-07-29 20:24:59
-0.678,0.005,2024-07-29 20:24:59
-0.644,0.005,2024-07-29 20:25:00
-0.672,0.003,2024-07-29 20:25:00
-0.675,0.002,2024-07-29 20:25:01
-0.187,-0.004,2024-07-29 20:25:01
-0.406,-0.004,2024-07-29 20:25:02
-0.341,-0.004,2024-07-29 20:25:02
-0.577,-0.004,2024-07-29 20:36:22
-0.536,-0.003,2024-07-29 20:36:23
-0.296,-0.002,2024-07-29 20:36:23
-0.592,-0.003,2024-07-29 20:36:24
-0.403,-0.003,2024-07-29 20:36:24
-0.652,0.005,2024-07-29 20:36:25
-0.618,0.006,2024-07-29 20:36:25
-0.707,0.005,2024-07-29 20:36:26
-0.596,0.004,2024-07-29 20:36:26
-0.294,-0.004,2024-07-29 20:36:27
-0.466,-0.003,2024-07-29 20:36:27
-0.500,-0.003,2024-07-29 20:36:28
-0.698,0.002,2024-07-29 20:36:28
-0.655,0.005,2024-07-29 20:36:29
-0.701,0.006,2024-07-29 20:36:29
-0.281,-0.005,2024-07-29 20:36:30
-0.299,-0.003,2024-07-29 20:36:30
-0.640,0.005,2024-07-29 20:36:31
-0.687,0.005,2024-07-29 20:36:31
-0.725,-0.001,2024-07-29 20:47:52
-0.721,-0.002,2024-07-29 20:47:52
-0.720,-0.002,2024-07-29 20:47:53
-0.713,0.003,2024-07-29 20:47:53
-0.714,0.003,2024-07-29 20:47:54
-0.712,0.026,2024-07-29 20:47:54
-0.714,-0.005,2024-07-29 20:47:55
-0.711,0.003,2024-07-29 20:47:55
-0.711,0.007,2024-07-29 20:47:56
-0.709,0.006,2024-07-29 20:47:56
-0.709,0.004,2024-07-29 20:47:57
-0.705,0.005,2024-07-29 20:47:57
-0.718,0.004,2024-07-29 20:47:58
-0.597,0.005,2024-07-29 20:47:58
-0.174,-0.001,2024-07-29 20:47:59
-0.098,0.005,2024-07-29 20:47:59
-0.137,-0.008,2024-07-29 20:48:00
-0.257,-0.004,2024-07-29 20:48:00
-0.618,0.003,2024-07-29 20:48:01
-0.721,-0.001,2024-07-29 20:59:21
-0.722,-0.002,2024-07-29 20:59:21
-0.721,-0.002,2024-07-29 20:59:22
-0.717,0.004,2024-07-29 20:59:22
-0.720,-0.002,2024-07-29 20:59:23
-0.715,-0.000,2024-07-29 20:59:23
-0.713,-0.007,2024-07-29 20:59:24
-0.711,-0.004,2024-07-29 20:59:24
-0.724,0.002,2024-07-29 20:59:25
-0.638,0.006,2024-07-29 20:59:25
-0.557,0.003,2024-07-29 20:59:26
-0.635,0.009,2024-07-29 20:59:26
-0.648,0.006,2024-07-29 20:59:27
-0.135,-0.008,2024-07-29 20:59:27
-0.174,-0.003,2024-07-29 20:59:28
-0.371,-0.001,2024-07-29 20:59:28
-0.434,-0.004,2024-07-29 20:59:29
-0.596,0.005,2024-07-29 20:59:29
-0.691,0.005,2024-07-29 20:59:30
-0.721,0.004,2024-07-29 21:10:50
-0.717,0.005,2024-07-29 21:10:51
-0.712,0.005,2024-07-29 21:10:51
-0.569,-0.002,2024-07-29 21:10:52
-0.675,-0.003,2024-07-29 21:10:52
-0.669,-0.003,2024-07-29 21:10:53
-0.680,-0.002,2024-07-29 21:10:53
-0.707,0.003,2024-07-29 21:10:54
-0.714,0.006,2024-07-29 21:10:54
-0.706,0.003,2024-07-29 21:10:55
-0.706,0.003,2024-07-29 21:10:55
-0.706,-0.002,2024-07-29 21:10:56
-0.703,-0.001,2024-07-29 21:10:56
-0.703,-0.003,2024-07-29 21:10:57
-0.701,0.003,2024-07-29 21:10:57
-0.699,0.004,2024-07-29 21:10:58
-0.697,0.004,2024-07-29 21:10:58
-0.704,-0.005,2024-07-29 21:10:59
-0.703,-0.002,2024-07-29 21:10:59
-0.123,-0.009,2024-07-29 21:22:19
-0.141,-0.004,2024-07-29 21:22:20
-0.233,0.001,2024-07-29 21:22:20
-0.640,0.003,2024-07-29 21:22:21
-0.644,-0.004,2024-07-29 21:22:21
-0.664,0.005,2024-07-29 21:22:22
-0.631,0.007,2024-07-29 21:22:22
-0.302,-0.004,2024-07-29 21:22:23
-0.219,-0.006,2024-07-29 21:22:23
-0.236,-0.003,2024-07-29 21:22:24
-0.700,0.005,2024-07-29 21:22:24
-0.646,0.005,2024-07-29 21:22:25
-0.682,0.006,2024-07-29 21:22:25
-0.606,-0.003,2024-07-29 21:22:26
-0.591,-0.005,2024-07-29 21:22:26
-0.607,-0.000,2024-07-29 21:22:27
-0.595,-0.002,2024-07-29 21:22:27
-0.507,-0.003,2024-07-29 21:22:28
-0.680,0.004,2024-07-29 21:22:28
-0.638,0.007,2024-07-29 21:33:49
-0.660,0.006,2024-07-29 21:33:49
-0.623,0.006,2024-07-29 21:33:50
-0.610,0.005,2024-07-29 21:33:50
-0.618,0.004,2024-07-29 21:33:51
-0.669,0.008,2024-07-29 21:33:51
-0.211,-0.009,2024-07-29 21:33:52
-0.185,-0.007,2024-07-29 21:33:52
-0.105,0.004,2024-07-29 21:33:53
-0.129,-0.003,2024-07-29 21:33:53
-0.608,0.004,2024-07-29 21:33:54
-0.714,0.004,2024-07-29 21:33:54
-0.706,0.003,2024-07-29 21:33:55
-0.705,0.004,2024-07-29 21:33:55
-0.701,-0.006,2024-07-29 21:33:56
-0.701,-0.004,2024-07-29 21:33:56
-0.697,0.000,2024-07-29 21:33:57
-0.701,-0.013,2024-07-29 21:33:57
-0.702,-0.002,2024-07-29 21:33:58
-0.728,0.005,2024-07-29 21:45:18
-0.725,0.003,2024-07-29 21:45:19
-0.720,0.005,2024-07-29 21:45:19
-0.718,0.003,2024-07-29 21:45:20
-0.717,-0.003,2024-07-29 21:45:20
-0.716,-0.003,2024-07-29 21:45:21
-0.715,-0.002,2024-07-29 21:45:21
-0.711,0.004,2024-07-29 21:45:22
-0.708,0.004,2024-07-29 21:45:22
-0.711,-0.001,2024-07-29 21:45:23
-0.710,-0.026,2024-07-29 21:45:23
-0.706,0.004,2024-07-29 21:45:24
-0.707,0.005,2024-07-29 21:45:24
-0.704,-0.002,2024-07-29 21:45:25
-0.702,-0.006,2024-07-29 21:45:25
-0.701,-0.002,2024-07-29 21:45:26
-0.702,0.003,2024-07-29 21:45:26
-0.699,0.007,2024-07-29 21:45:27
-0.701,0.003,2024-07-29 21:45:27
-0.725,0.006,2024-07-29 21:56:48
-0.723,0.001,2024-07-29 21:56:48
-0.721,0.004,2024-07-29 21:56:49
-0.718,0.004,2024-07-29 21:56:49
-0.715,-0.003,2024-07-29 21:56:50
-0.712,-0.001,2024-07-29 21:56:50
-0.716,-0.002,2024-07-29 21:56:51
-0.709,0.004,2024-07-29 21:56:51
-0.708,0.004,2024-07-29 21:56:52
-0.710,0.003,2024-07-29 21:56:52
-0.711,-0.002,2024-07-29 21:56:53
-0.706,-0.002,2024-07-29 21:56:53
-0.705,-0.002,2024-07-29 21:56:54
-0.707,-0.001,2024-07-29 21:56:54
-0.708,-0.002,2024-07-29 21:56:55
-0.700,0.003,2024-07-29 21:56:55
-0.700,-0.001,2024-07-29 21:56:56
-0.700,0.004,2024-07-29 21:56:56
-0.696,0.030,2024-07-29 21:56:57
-0.749,0.003,2024-07-29 22:08:17
-0.725,0.003,2024-07-29 22:08:17
-0.724,0.005,2024-07-29 22:08:18
-0.725,0.004,2024-07-29 22:08:18
-0.717,0.006,2024-07-29 22:08:19
-0.715,-0.009,2024-07-29 22:08:19
-0.714,-0.010,2024-07-29 22:08:20
-0.712,-0.000,2024-07-29 22:08:20
-0.708,-0.007,2024-07-29 22:08:21
-0.711,-0.022,2024-07-29 22:08:21
-0.709,-0.002,2024-07-29 22:08:22
-0.705,-0.001,2024-07-29 22:08:22
-0.703,-0.002,2024-07-29 22:08:23
-0.702,0.005,2024-07-29 22:08:23
-0.699,0.003,2024-07-29 22:08:24
-0.697,0.007,2024-07-29 22:08:24
-0.692,0.003,2024-07-29 22:08:25
-0.652,-0.003,2024-07-29 22:08:25
-0.490,-0.004,2024-07-29 22:08:26
-0.729,0.003,2024-07-29 22:19:46
-0.730,0.004,2024-07-29 22:19:47
-0.721,0.004,2024-07-29 22:19:47
-0.718,-0.015,2024-07-29 22:19:48
-0.720,0.003,2024-07-29 22:19:48
-0.713,0.002,2024-07-29 22:19:49
-0.705,0.004,2024-07-29 22:19:49
-0.697,0.005,2024-07-29 22:19:50
-0.612,-0.003,2024-07-29 22:19:50
-0.352,-0.003,2024-07-29 22:19:51
-0.208,-0.002,2024-07-29 22:19:51
-0.593,0.004,2024-07-29 22:19:52
-0.602,0.002,2024-07-29 22:19:52
-0.627,0.005,2024-07-29 22:19:53
-0.703,-0.002,2024-07-29 22:19:53
-0.702,-0.006,2024-07-29 22:19:54
-0.700,-0.000,2024-07-29 22:19:54
-0.703,0.005,2024-07-29 22:19:55
-0.699,-0.002,2024-07-29 22:19:55
-0.632,0.005,2024-07-29 22:31:15
-0.628,0.005,2024-07-29 22:31:16
-0.665,0.006,2024-07-29 22:31:16
-0.666,0.004,2024-07-29 22:31:17
-0.318,-0.006,2024-07-29 22:31:17
-0.224,-0.004,2024-07-29 22:31:18
-0.183,-0.005,2024-07-29 22:31:18
-0.573,-0.002,2024-07-29 22:31:19
-0.568,0.001,2024-07-29 22:31:20
-0.665,0.012,2024-07-29 22:31:20
-0.119,0.004,2024-07-29 22:31:21
-0.245,-0.012,2024-07-29 22:31:21
-0.255,-0.004,2024-07-29 22:31:22
-0.536,0.002,2024-07-29 22:31:22
-0.616,0.003,2024-07-29 22:31:23
-0.638,0.009,2024-07-29 22:31:23
-0.111,0.007,2024-07-29 22:31:24
-0.161,-0.007,2024-07-29 22:31:24
-0.111,0.006,2024-07-29 22:31:25
-0.727,-0.004,2024-07-29 22:42:45
-0.724,-0.003,2024-07-29 22:42:45
-0.701,-0.003,2024-07-29 22:42:46
-0.700,-0.002,2024-07-29 22:42:46
-0.664,0.004,2024-07-29 22:42:47
-0.659,0.005,2024-07-29 22:42:47
-0.586,0.003,2024-07-29 22:42:48
-0.269,-0.011,2024-07-29 22:42:48
-0.119,0.003,2024-07-29 22:42:49
-0.126,0.002,2024-07-29 22:42:49
-0.640,0.007,2024-07-29 22:42:50
-0.668,0.006,2024-07-29 22:42:50
-0.566,0.005,2024-07-29 22:42:51
-0.637,0.003,2024-07-29 22:42:51
-0.622,0.004,2024-07-29 22:42:52
-0.566,-0.004,2024-07-29 22:42:52
-0.622,-0.001,2024-07-29 22:42:53
-0.655,-0.003,2024-07-29 22:42:53
-0.684,-0.002,2024-07-29 22:42:54
-0.727,0.004,2024-07-29 22:54:15
-0.719,0.004,2024-07-29 22:54:15
-0.720,0.004,2024-07-29 22:54:16
-0.718,0.003,2024-07-29 22:54:16
-0.717,-0.000,2024-07-29 22:54:17
-0.718,0.003,2024-07-29 22:54:17
-0.714,0.006,2024-07-29 22:54:18
-0.713,0.004,2024-07-29 22:54:18
-0.711,0.005,2024-07-29 22:54:19
-0.169,-0.003,2024-07-29 22:54:19
-0.235,-0.009,2024-07-29 22:54:20
-0.325,-0.010,2024-07-29 22:54:20
-0.251,-0.004,2024-07-29 22:54:21
-0.575,0.007,2024-07-29 22:54:21
-0.613,0.005,2024-07-29 22:54:22
-0.615,0.005,2024-07-29 22:54:22
-0.598,-0.003,2024-07-29 22:54:23
-0.515,-0.003,2024-07-29 22:54:23
-0.636,-0.003,2024-07-29 22:54:24
-0.729,-0.002,2024-07-29 23:05:44
-0.727,-0.002,2024-07-29 23:05:45
-0.723,-0.001,2024-07-29 23:05:45
-0.717,0.005,2024-07-29 23:05:46
-0.708,0.004,2024-07-29 23:05:47
-0.709,0.003,2024-07-29 23:05:47
-0.706,0.005,2024-07-29 23:05:48
-0.643,-0.003,2024-07-29 23:05:48
-0.251,-0.003,2024-07-29 23:05:49
-0.195,-0.004,2024-07-29 23:05:49
-0.591,0.007,2024-07-29 23:05:50
-0.586,0.006,2024-07-29 23:05:50
-0.632,0.004,2024-07-29 23:05:51
-0.232,-0.009,2024-07-29 23:05:51
-0.182,-0.009,2024-07-29 23:05:52
-0.167,-0.008,2024-07-29 23:05:52
-0.164,-0.001,2024-07-29 23:05:53
-0.682,-0.004,2024-07-29 23:05:53
-0.701,0.004,2024-07-29 23:05:54
-0.716,0.004,2024-07-29 23:17:14
-0.721,0.004,2024-07-29 23:17:14
-0.722,0.002,2024-07-29 23:17:15
-0.719,0.003,2024-07-29 23:17:15
-0.716,0.003,2024-07-29 23:17:16
-0.715,0.005,2024-07-29 23:17:16
-0.716,-0.001,2024-07-29 23:17:17
-0.716,-0.022,2024-07-29 23:17:17
-0.714,0.004,2024-07-29 23:17:18
-0.707,-0.005,2024-07-29 23:17:18
-0.709,0.001,2024-07-29 23:17:19
-0.707,-0.000,2024-07-29 23:17:19
-0.708,0.004,2024-07-29 23:17:20
-0.716,0.004,2024-07-29 23:17:20
-0.142,-0.001,2024-07-29 23:17:21
-0.143,0.002,2024-07-29 23:17:21
-0.257,-0.011,2024-07-29 23:17:22
-0.148,-0.001,2024-07-29 23:17:22
-0.573,0.002,2024-07-29 23:17:23
-0.733,0.004,2024-07-29 23:28:44
-0.727,0.004,2024-07-29 23:28:44
-0.725,0.003,2024-07-29 23:28:45
-0.706,-0.001,2024-07-29 23:28:45
-0.238,-0.001,2024-07-29 23:28:46
-0.124,0.001,2024-07-29 23:28:46
-0.097,0.007,2024-07-29 23:28:47
-0.668,0.012,2024-07-29 23:28:47
-0.612,0.003,2024-07-29 23:28:48
-0.595,0.003,2024-07-29 23:28:48
-0.165,-0.002,2024-07-29 23:28:49
-0.120,-0.002,2024-07-29 23:28:49
-0.144,-0.004,2024-07-29 23:28:50
-0.625,0.005,2024-07-29 23:28:50
-0.595,0.005,2024-07-29 23:28:51
-0.654,0.004,2024-07-29 23:28:51
-0.699,0.004,2024-07-29 23:28:52
-0.575,-0.003,2024-07-29 23:28:52
-0.642,-0.001,2024-07-29 23:28:53
-0.693,-0.003,2024-07-29 23:40:14
-0.694,-0.002,2024-07-29 23:40:14
-0.681,-0.002,2024-07-29 23:40:15
-0.707,-0.003,2024-07-29 23:40:15
-0.718,0.004,2024-07-29 23:40:16
-0.712,0.004,2024-07-29 23:40:16
-0.688,-0.001,2024-07-29 23:40:17
-0.697,-0.004,2024-07-29 23:40:17
-0.646,-0.005,2024-07-29 23:40:18
